date,category,subcategory,amount,description
2024-02-07,bills,electricity,3583.58,Electricity expense
2024-02-07,shopping,clothes,1642.34,Clothes expense
2024-02-08,food,restaurants,2016.68,Restaurants expense
2024-02-08,shopping,electronics,835.63,Electronics expense
2024-02-08,health,doctor,4077.05,Doctor expense
2024-02-09,savings,emergency fund,984.13,Emergency Fund expense
2024-02-09,transport,fuel,1838.03,Fuel expense
2024-02-09,transport,fuel,4177.81,Fuel expense
2024-02-10,savings,retirement,632.0,Retirement expense
2024-02-10,bills,rent,287.24,Rent expense
2024-02-10,food,coffee,1945.47,Coffee expense
2024-02-10,transport,public transport,341.15,Public Transport expense
2024-02-10,savings,investments,1836.81,Investments expense
2024-02-11,bills,rent,3362.43,Rent expense
2024-02-11,transport,taxi,4755.21,Taxi expense
2024-02-11,health,pharmacy,50.53,Pharmacy expense
2024-02-11,entertainment,movies,2061.04,Movies expense
2024-02-12,health,insurance,376.5,Insurance expense
2024-02-12,bills,electricity,726.64,Electricity expense
2024-02-12,transport,fuel,2870.28,Fuel expense
2024-02-12,misc,donations,2951.76,Donations expense
2024-02-13,misc,others,124.72,Others expense
2024-02-13,savings,investments,790.87,Investments expense
2024-02-13,savings,investments,4262.27,Investments expense
2024-02-13,misc,donations,4094.23,Donations expense
2024-02-14,bills,electricity,4824.91,Electricity expense
2024-02-14,entertainment,subscriptions,1708.77,Subscriptions expense
2024-02-14,savings,retirement,822.63,Retirement expense
2024-02-14,transport,taxi,2216.7,Taxi expense
2024-02-15,misc,donations,1305.19,Donations expense
2024-02-15,transport,taxi,4074.2,Taxi expense
2024-02-15,transport,fuel,2460.0,Fuel expense
2024-02-15,savings,retirement,1905.42,Retirement expense
2024-02-16,savings,investments,3694.06,Investments expense
2024-02-16,entertainment,games,375.24,Games expense
2024-02-16,health,doctor,3940.5,Doctor expense
2024-02-17,shopping,clothes,2049.71,Clothes expense
2024-02-17,misc,donations,4026.34,Donations expense
2024-02-17,bills,internet,995.19,Internet expense
2024-02-17,misc,donations,832.17,Donations expense
2024-02-18,misc,donations,3636.13,Donations expense
2024-02-18,shopping,accessories,1996.8,Accessories expense
2024-02-18,savings,retirement,2533.43,Retirement expense
2024-02-18,bills,electricity,4727.19,Electricity expense
2024-02-19,shopping,electronics,3511.48,Electronics expense
2024-02-19,food,coffee,341.02,Coffee expense
2024-02-19,shopping,electronics,1422.57,Electronics expense
2024-02-19,bills,rent,2326.71,Rent expense
2024-02-19,misc,gifts,2745.56,Gifts expense
2024-02-20,health,pharmacy,2413.19,Pharmacy expense
2024-02-20,savings,retirement,4178.06,Retirement expense
2024-02-20,savings,investments,1256.05,Investments expense
2024-02-21,savings,retirement,358.12,Retirement expense
2024-02-21,savings,investments,4159.45,Investments expense
2024-02-21,entertainment,movies,4682.19,Movies expense
2024-02-21,transport,public transport,2933.92,Public Transport expense
2024-02-21,savings,retirement,1084.42,Retirement expense
2024-02-22,food,coffee,3760.62,Coffee expense
2024-02-22,misc,gifts,1587.44,Gifts expense
2024-02-22,bills,electricity,2113.83,Electricity expense
2024-02-22,shopping,accessories,2814.37,Accessories expense
2024-02-23,food,groceries,4871.53,Groceries expense
2024-02-23,entertainment,subscriptions,3459.48,Subscriptions expense
2024-02-23,misc,others,4000.15,Others expense
2024-02-23,transport,public transport,3341.58,Public Transport expense
2024-02-23,health,insurance,2112.71,Insurance expense
2024-02-24,health,insurance,527.96,Insurance expense
2024-02-24,misc,donations,2153.93,Donations expense
2024-02-24,bills,rent,605.02,Rent expense
2024-02-24,transport,fuel,2256.44,Fuel expense
2024-02-25,health,insurance,3834.14,Insurance expense
2024-02-25,transport,fuel,4502.03,Fuel expense
2024-02-25,bills,internet,245.57,Internet expense
2024-02-25,food,restaurants,4793.23,Restaurants expense
2024-02-26,savings,emergency fund,2554.25,Emergency Fund expense
2024-02-26,misc,gifts,4971.76,Gifts expense
2024-02-26,health,pharmacy,1885.51,Pharmacy expense
2024-02-27,entertainment,games,1129.01,Games expense
2024-02-27,entertainment,subscriptions,3396.46,Subscriptions expense
2024-02-27,bills,internet,201.06,Internet expense
2024-02-27,bills,electricity,2697.85,Electricity expense
2024-02-28,shopping,clothes,1118.57,Clothes expense
2024-02-28,transport,taxi,413.8,Taxi expense
2024-02-28,food,groceries,1805.41,Groceries expense
2024-02-28,savings,emergency fund,3051.35,Emergency Fund expense
2024-02-29,entertainment,subscriptions,2682.87,Subscriptions expense
2024-02-29,misc,others,4285.82,Others expense
2024-02-29,health,insurance,3373.99,Insurance expense
2024-03-01,savings,emergency fund,1101.6,Emergency Fund expense
2024-03-01,health,pharmacy,2252.83,Pharmacy expense
2024-03-01,health,insurance,109.09,Insurance expense
2024-03-01,savings,emergency fund,4336.19,Emergency Fund expense
2024-03-02,misc,donations,3488.1,Donations expense
2024-03-02,food,groceries,2343.01,Groceries expense
2024-03-02,bills,internet,4785.87,Internet expense
2024-03-02,food,restaurants,705.04,Restaurants expense
2024-03-02,transport,public transport,2384.11,Public Transport expense
2024-03-03,health,insurance,1276.96,Insurance expense
2024-03-03,shopping,clothes,1041.94,Clothes expense
2024-03-03,transport,taxi,1849.9,Taxi expense
2024-03-03,savings,investments,929.82,Investments expense
2024-03-04,food,coffee,3644.71,Coffee expense
2024-03-04,health,insurance,1514.1,Insurance expense
2024-03-04,savings,investments,2151.36,Investments expense
2024-03-04,misc,gifts,3779.16,Gifts expense
2024-03-04,bills,rent,4298.94,Rent expense
2024-03-05,food,coffee,1299.23,Coffee expense
2024-03-05,bills,internet,3848.88,Internet expense
2024-03-05,bills,internet,392.38,Internet expense
2024-03-05,savings,investments,1598.02,Investments expense
2024-03-06,savings,retirement,1442.92,Retirement expense
2024-03-06,misc,donations,3559.68,Donations expense
2024-03-06,health,insurance,3359.86,Insurance expense
2024-03-06,savings,investments,4456.57,Investments expense
2024-03-07,savings,emergency fund,1887.22,Emergency Fund expense
2024-03-07,food,coffee,1885.65,Coffee expense
2024-03-07,misc,others,2865.63,Others expense
2024-03-07,bills,internet,1433.82,Internet expense
2024-03-08,bills,electricity,2500.4,Electricity expense
2024-03-08,misc,donations,2938.02,Donations expense
2024-03-08,bills,rent,2017.95,Rent expense
2024-03-08,health,pharmacy,4495.84,Pharmacy expense
2024-03-08,food,coffee,2478.33,Coffee expense
2024-03-09,food,coffee,2461.02,Coffee expense
2024-03-09,savings,emergency fund,1540.57,Emergency Fund expense
2024-03-09,bills,rent,3548.37,Rent expense
2024-03-09,health,insurance,4777.38,Insurance expense
2024-03-10,entertainment,movies,3239.88,Movies expense
2024-03-10,transport,public transport,4415.88,Public Transport expense
2024-03-10,health,doctor,1188.08,Doctor expense
2024-03-10,health,pharmacy,3502.41,Pharmacy expense
2024-03-10,savings,retirement,3295.06,Retirement expense
2024-03-11,savings,emergency fund,1381.28,Emergency Fund expense
2024-03-11,bills,electricity,3435.37,Electricity expense
2024-03-11,savings,retirement,833.75,Retirement expense
2024-03-11,health,doctor,3441.95,Doctor expense
2024-03-12,health,doctor,554.02,Doctor expense
2024-03-12,misc,others,918.51,Others expense
2024-03-12,savings,emergency fund,925.0,Emergency Fund expense
2024-03-12,bills,electricity,239.86,Electricity expense
2024-03-13,savings,retirement,644.19,Retirement expense
2024-03-13,entertainment,games,3026.56,Games expense
2024-03-13,savings,emergency fund,3835.52,Emergency Fund expense
2024-03-14,transport,fuel,4368.53,Fuel expense
2024-03-14,savings,emergency fund,4752.11,Emergency Fund expense
2024-03-14,transport,public transport,3837.3,Public Transport expense
2024-03-15,misc,gifts,2868.66,Gifts expense
2024-03-15,misc,others,4677.69,Others expense
2024-03-15,entertainment,games,4278.84,Games expense
2024-03-15,health,doctor,4127.98,Doctor expense
2024-03-15,misc,gifts,2275.85,Gifts expense
2024-03-16,misc,donations,1930.12,Donations expense
2024-03-16,shopping,accessories,2262.82,Accessories expense
2024-03-16,food,restaurants,2176.08,Restaurants expense
2024-03-17,health,insurance,2687.08,Insurance expense
2024-03-17,bills,rent,181.85,Rent expense
2024-03-17,health,doctor,3972.32,Doctor expense
2024-03-17,entertainment,movies,4931.94,Movies expense
2024-03-18,transport,public transport,786.25,Public Transport expense
2024-03-18,shopping,clothes,4173.79,Clothes expense
2024-03-18,transport,fuel,3683.33,Fuel expense
2024-03-18,savings,emergency fund,2332.74,Emergency Fund expense
2024-03-18,health,doctor,2974.35,Doctor expense
2024-03-19,entertainment,games,4697.37,Games expense
2024-03-19,transport,fuel,4712.41,Fuel expense
2024-03-19,shopping,clothes,4473.57,Clothes expense
2024-03-19,shopping,clothes,3002.04,Clothes expense
2024-03-19,entertainment,movies,4876.8,Movies expense
2024-03-20,shopping,accessories,1434.95,Accessories expense
2024-03-20,shopping,accessories,1531.19,Accessories expense
2024-03-20,food,restaurants,2821.53,Restaurants expense
2024-03-20,misc,donations,4205.57,Donations expense
2024-03-21,transport,taxi,1492.38,Taxi expense
2024-03-21,bills,internet,2753.45,Internet expense
2024-03-21,transport,taxi,1158.74,Taxi expense
2024-03-21,bills,internet,2057.14,Internet expense
2024-03-22,transport,fuel,1531.09,Fuel expense
2024-03-22,health,insurance,865.46,Insurance expense
2024-03-22,savings,retirement,2982.53,Retirement expense
2024-03-22,food,coffee,2862.43,Coffee expense
2024-03-23,misc,gifts,3003.53,Gifts expense
2024-03-23,health,doctor,374.9,Doctor expense
2024-03-23,shopping,accessories,1999.4,Accessories expense
2024-03-23,entertainment,subscriptions,3343.23,Subscriptions expense
2024-03-23,bills,internet,3236.68,Internet expense
2024-03-24,shopping,accessories,1012.8,Accessories expense
2024-03-24,food,groceries,2423.18,Groceries expense
2024-03-24,misc,others,4497.43,Others expense
2024-03-24,transport,public transport,3025.55,Public Transport expense
2024-03-25,food,restaurants,1677.07,Restaurants expense
2024-03-25,bills,internet,1413.8,Internet expense
2024-03-25,shopping,clothes,2851.09,Clothes expense
2024-03-25,shopping,accessories,1820.51,Accessories expense
2024-03-25,bills,rent,1452.45,Rent expense
2024-03-26,bills,electricity,2213.99,Electricity expense
2024-03-26,entertainment,subscriptions,1627.51,Subscriptions expense
2024-03-26,entertainment,movies,4167.77,Movies expense
2024-03-26,transport,fuel,2503.4,Fuel expense
2024-03-27,misc,gifts,4969.18,Gifts expense
2024-03-27,bills,rent,3058.25,Rent expense
2024-03-27,transport,taxi,3721.88,Taxi expense
2024-03-28,health,pharmacy,2242.8,Pharmacy expense
2024-03-28,health,insurance,2041.34,Insurance expense
2024-03-28,food,restaurants,467.61,Restaurants expense
2024-03-29,shopping,accessories,1140.3,Accessories expense
2024-03-29,misc,donations,3205.48,Donations expense
2024-03-29,bills,internet,1161.1,Internet expense
2024-03-29,entertainment,movies,994.6,Movies expense
2024-03-30,savings,emergency fund,4606.39,Emergency Fund expense
2024-03-30,bills,rent,737.6,Rent expense
2024-03-30,food,coffee,4774.55,Coffee expense
2024-03-30,bills,electricity,4824.43,Electricity expense
2024-03-31,entertainment,subscriptions,4205.89,Subscriptions expense
2024-03-31,health,insurance,679.58,Insurance expense
2024-03-31,savings,emergency fund,2821.23,Emergency Fund expense
2024-03-31,health,pharmacy,1307.38,Pharmacy expense
2024-04-01,health,pharmacy,291.57,Pharmacy expense
2024-04-01,entertainment,games,3108.09,Games expense
2024-04-01,entertainment,movies,3571.48,Movies expense
2024-04-01,misc,gifts,654.39,Gifts expense
2024-04-02,entertainment,games,4944.3,Games expense
2024-04-02,bills,rent,2210.52,Rent expense
2024-04-02,savings,investments,4602.45,Investments expense
2024-04-02,entertainment,games,3225.9,Games expense
2024-04-02,food,coffee,4479.33,Coffee expense
2024-04-03,shopping,accessories,70.08,Accessories expense
2024-04-03,shopping,clothes,3506.1,Clothes expense
2024-04-03,misc,others,3352.53,Others expense
2024-04-04,savings,emergency fund,2937.29,Emergency Fund expense
2024-04-04,entertainment,games,4490.11,Games expense
2024-04-04,shopping,accessories,4262.56,Accessories expense
2024-04-04,savings,emergency fund,2563.71,Emergency Fund expense
2024-04-04,shopping,accessories,1942.04,Accessories expense
2024-04-05,health,insurance,512.73,Insurance expense
2024-04-05,health,pharmacy,2206.16,Pharmacy expense
2024-04-05,savings,investments,2947.39,Investments expense
2024-04-05,health,insurance,3372.99,Insurance expense
2024-04-05,bills,internet,3499.73,Internet expense
2024-04-06,health,doctor,411.19,Doctor expense
2024-04-06,misc,gifts,3848.06,Gifts expense
2024-04-06,entertainment,movies,2885.69,Movies expense
2024-04-06,shopping,clothes,2761.55,Clothes expense
2024-04-07,savings,emergency fund,2322.01,Emergency Fund expense
2024-04-07,shopping,clothes,4505.94,Clothes expense
2024-04-07,entertainment,games,4537.04,Games expense
2024-04-07,entertainment,subscriptions,3796.86,Subscriptions expense
2024-04-07,shopping,accessories,2925.07,Accessories expense
2024-04-08,savings,investments,2666.71,Investments expense
2024-04-08,misc,donations,3892.64,Donations expense
2024-04-08,health,pharmacy,2269.61,Pharmacy expense
2024-04-08,food,coffee,4651.23,Coffee expense
2024-04-08,entertainment,subscriptions,1619.21,Subscriptions expense
2024-04-09,transport,fuel,2385.25,Fuel expense
2024-04-09,shopping,clothes,870.06,Clothes expense
2024-04-09,transport,public transport,4977.05,Public Transport expense
2024-04-10,misc,others,2081.86,Others expense
2024-04-10,shopping,clothes,988.55,Clothes expense
2024-04-10,savings,emergency fund,2942.99,Emergency Fund expense
2024-04-10,transport,taxi,609.89,Taxi expense
2024-04-11,health,doctor,4288.3,Doctor expense
2024-04-11,transport,taxi,2471.7,Taxi expense
2024-04-11,transport,fuel,811.8,Fuel expense
2024-04-12,savings,retirement,1076.55,Retirement expense
2024-04-12,savings,investments,4325.04,Investments expense
2024-04-12,food,coffee,1242.29,Coffee expense
2024-04-12,bills,electricity,314.83,Electricity expense
2024-04-13,shopping,clothes,2131.0,Clothes expense
2024-04-13,transport,public transport,1031.62,Public Transport expense
2024-04-13,food,coffee,3167.59,Coffee expense
2024-04-13,food,restaurants,3280.77,Restaurants expense
2024-04-13,food,coffee,2558.89,Coffee expense
2024-04-14,misc,others,1370.66,Others expense
2024-04-14,savings,emergency fund,2600.82,Emergency Fund expense
2024-04-14,transport,public transport,4450.45,Public Transport expense
2024-04-14,health,insurance,351.63,Insurance expense
2024-04-14,entertainment,games,892.72,Games expense
2024-04-15,misc,others,2580.75,Others expense
2024-04-15,health,pharmacy,502.17,Pharmacy expense
2024-04-15,entertainment,movies,3534.22,Movies expense
2024-04-16,health,insurance,2008.27,Insurance expense
2024-04-16,transport,taxi,4871.43,Taxi expense
2024-04-16,savings,investments,1381.92,Investments expense
2024-04-16,entertainment,movies,3066.67,Movies expense
2024-04-17,shopping,accessories,3014.06,Accessories expense
2024-04-17,health,pharmacy,99.83,Pharmacy expense
2024-04-17,food,groceries,715.38,Groceries expense
2024-04-18,bills,electricity,4756.08,Electricity expense
2024-04-18,savings,retirement,669.14,Retirement expense
2024-04-18,misc,gifts,4208.12,Gifts expense
2024-04-18,transport,public transport,1696.02,Public Transport expense
2024-04-19,shopping,clothes,2068.19,Clothes expense
2024-04-19,savings,emergency fund,415.12,Emergency Fund expense
2024-04-19,food,restaurants,1627.39,Restaurants expense
2024-04-19,misc,donations,3490.32,Donations expense
2024-04-20,entertainment,subscriptions,3051.2,Subscriptions expense
2024-04-20,shopping,clothes,3005.9,Clothes expense
2024-04-20,entertainment,games,2615.81,Games expense
2024-04-20,food,groceries,2425.17,Groceries expense
2024-04-21,shopping,electronics,4697.7,Electronics expense
2024-04-21,transport,fuel,1076.17,Fuel expense
2024-04-21,food,coffee,4346.39,Coffee expense
2024-04-21,shopping,accessories,2154.93,Accessories expense
2024-04-22,savings,investments,1020.95,Investments expense
2024-04-22,bills,rent,2652.47,Rent expense
2024-04-22,misc,others,4919.31,Others expense
2024-04-22,bills,rent,2795.89,Rent expense
2024-04-22,transport,public transport,4247.96,Public Transport expense
2024-04-23,transport,public transport,4269.87,Public Transport expense
2024-04-23,shopping,electronics,1547.01,Electronics expense
2024-04-23,food,restaurants,57.11,Restaurants expense
2024-04-23,entertainment,games,3044.16,Games expense
2024-04-23,transport,taxi,3412.11,Taxi expense
2024-04-24,misc,others,3193.78,Others expense
2024-04-24,food,coffee,2565.24,Coffee expense
2024-04-24,food,coffee,3993.96,Coffee expense
2024-04-24,misc,gifts,4779.62,Gifts expense
2024-04-25,savings,retirement,4116.5,Retirement expense
2024-04-25,bills,rent,3542.42,Rent expense
2024-04-25,entertainment,movies,2836.13,Movies expense
2024-04-26,savings,investments,2850.7,Investments expense
2024-04-26,savings,retirement,3877.29,Retirement expense
2024-04-26,transport,fuel,4294.52,Fuel expense
2024-04-26,shopping,clothes,1833.67,Clothes expense
2024-04-27,entertainment,subscriptions,2098.55,Subscriptions expense
2024-04-27,savings,investments,52.25,Investments expense
2024-04-27,entertainment,movies,1854.95,Movies expense
2024-04-27,misc,donations,2452.51,Donations expense
2024-04-27,food,restaurants,1018.28,Restaurants expense
2024-04-28,health,pharmacy,3669.59,Pharmacy expense
2024-04-28,transport,public transport,2258.11,Public Transport expense
2024-04-28,food,groceries,2743.3,Groceries expense
2024-04-29,savings,emergency fund,291.15,Emergency Fund expense
2024-04-29,entertainment,movies,4896.96,Movies expense
2024-04-29,food,groceries,4543.77,Groceries expense
2024-04-29,food,groceries,3644.21,Groceries expense
2024-04-30,health,pharmacy,1685.64,Pharmacy expense
2024-04-30,food,coffee,187.59,Coffee expense
2024-04-30,bills,rent,2704.8,Rent expense
2024-04-30,food,coffee,3876.36,Coffee expense
2024-05-01,shopping,clothes,3678.5,Clothes expense
2024-05-01,bills,internet,568.43,Internet expense
2024-05-01,savings,emergency fund,2796.73,Emergency Fund expense
2024-05-02,savings,emergency fund,1220.01,Emergency Fund expense
2024-05-02,transport,taxi,968.0,Taxi expense
2024-05-02,entertainment,games,4003.68,Games expense
2024-05-03,transport,taxi,1811.37,Taxi expense
2024-05-03,bills,electricity,1932.17,Electricity expense
2024-05-03,misc,gifts,3673.27,Gifts expense
2024-05-03,misc,others,4780.62,Others expense
2024-05-04,misc,others,3410.23,Others expense
2024-05-04,misc,others,2745.7,Others expense
2024-05-04,bills,rent,4546.18,Rent expense
2024-05-04,health,pharmacy,2610.75,Pharmacy expense
2024-05-05,health,pharmacy,388.52,Pharmacy expense
2024-05-05,food,coffee,2965.07,Coffee expense
2024-05-05,bills,internet,1931.43,Internet expense
2024-05-05,shopping,electronics,2216.7,Electronics expense
2024-05-06,health,pharmacy,221.32,Pharmacy expense
2024-05-06,shopping,clothes,3960.36,Clothes expense
2024-05-06,bills,internet,4390.79,Internet expense
2024-05-06,entertainment,subscriptions,4506.7,Subscriptions expense
2024-05-06,transport,public transport,3096.3,Public Transport expense
2024-05-07,savings,retirement,3887.27,Retirement expense
2024-05-07,entertainment,games,1318.58,Games expense
2024-05-07,misc,gifts,3809.1,Gifts expense
2024-05-07,misc,others,776.77,Others expense
2024-05-07,shopping,clothes,2862.44,Clothes expense
2024-05-08,transport,public transport,2226.1,Public Transport expense
2024-05-08,savings,emergency fund,3898.57,Emergency Fund expense
2024-05-08,bills,rent,1215.05,Rent expense
2024-05-08,transport,fuel,409.41,Fuel expense
2024-05-08,savings,investments,3422.86,Investments expense
2024-05-09,savings,investments,4149.18,Investments expense
2024-05-09,shopping,accessories,1297.35,Accessories expense
2024-05-09,misc,others,2258.86,Others expense
2024-05-09,health,insurance,2811.2,Insurance expense
2024-05-10,shopping,clothes,3650.37,Clothes expense
2024-05-10,transport,public transport,4103.19,Public Transport expense
2024-05-10,savings,retirement,4498.77,Retirement expense
2024-05-10,misc,gifts,1747.4,Gifts expense
2024-05-10,food,restaurants,4745.4,Restaurants expense
2024-05-11,transport,fuel,1534.57,Fuel expense
2024-05-11,health,pharmacy,2216.13,Pharmacy expense
2024-05-11,shopping,accessories,2412.97,Accessories expense
2024-05-11,bills,internet,3588.51,Internet expense
2024-05-11,health,doctor,3286.83,Doctor expense
