datetime,date,time,month,week,category,amount,description,type
2024-02-28 09:31:20,2024-02-28,09:31:20,February 2024,Week 9,Entertainment,2080.5,Entertainment expense,want
2024-02-28 12:24:18,2024-02-28,12:24:18,February 2024,Week 9,Food Delivery,3004.85,Food Delivery expense,want
2024-02-28 20:44:45,2024-02-28,20:44:45,February 2024,Week 9,Transport,3796.88,Transport expense,need
2024-02-29 03:01:05,2024-02-29,03:01:05,February 2024,Week 9,Transport,2674.01,Transport expense,need
2024-02-29 18:52:57,2024-02-29,18:52:57,February 2024,Week 9,Transport,321.52,Transport expense,need
2024-03-01 13:01:10,2024-03-01,13:01:10,March 2024,Week 9,Groceries,3515.83,Groceries expense,need
2024-03-01 16:35:05,2024-03-01,16:35:05,March 2024,Week 9,Dining Out,1508.14,Dining Out expense,want
2024-03-01 23:52:18,2024-03-01,23:52:18,March 2024,Week 9,Shopping,3087.99,Shopping expense,want
2024-03-02 04:39:46,2024-03-02,04:39:46,March 2024,Week 9,Transport,3986.1,Transport expense,need
2024-03-02 21:14:47,2024-03-02,21:14:47,March 2024,Week 9,Healthcare,1735.45,Healthcare expense,need
2024-03-04 04:05:12,2024-03-04,04:05:12,March 2024,Week 10,Transport,1817.06,Transport expense,need
2024-03-04 08:29:27,2024-03-04,08:29:27,March 2024,Week 10,Utilities,4961.32,Utilities expense,need
2024-03-04 09:06:02,2024-03-04,09:06:02,March 2024,Week 10,Utilities,692.39,Utilities expense,need
2024-03-04 12:28:14,2024-03-04,12:28:14,March 2024,Week 10,Entertainment,2298.91,Entertainment expense,want
2024-03-04 15:22:39,2024-03-04,15:22:39,March 2024,Week 10,Transport,2765.39,Transport expense,need
2024-03-07 11:31:39,2024-03-07,11:31:39,March 2024,Week 10,Travel,4334.69,Travel expense,want
2024-03-07 15:32:30,2024-03-07,15:32:30,March 2024,Week 10,Food Delivery,4273.84,Food Delivery expense,want
2024-03-09 00:45:49,2024-03-09,00:45:49,March 2024,Week 10,Transport,4604.22,Transport expense,need
2024-03-09 11:10:59,2024-03-09,11:10:59,March 2024,Week 10,Food Delivery,1708.63,Food Delivery expense,want
2024-03-09 14:02:53,2024-03-09,14:02:53,March 2024,Week 10,Shopping,4312.3,Shopping expense,want
2024-03-09 15:56:22,2024-03-09,15:56:22,March 2024,Week 10,Entertainment,3885.73,Entertainment expense,want
2024-03-10 00:31:59,2024-03-10,00:31:59,March 2024,Week 10,Entertainment,4045.04,Entertainment expense,want
2024-03-10 12:59:27,2024-03-10,12:59:27,March 2024,Week 10,Travel,1204.35,Travel expense,want
2024-03-10 18:13:42,2024-03-10,18:13:42,March 2024,Week 10,Healthcare,3766.64,Healthcare expense,need
2024-03-10 20:14:34,2024-03-10,20:14:34,March 2024,Week 10,Transport,3488.96,Transport expense,need
2024-03-11 02:57:12,2024-03-11,02:57:12,March 2024,Week 11,Food Delivery,3119.53,Food Delivery expense,want
2024-03-11 11:54:13,2024-03-11,11:54:13,March 2024,Week 11,Travel,4035.7,Travel expense,want
2024-03-11 13:24:19,2024-03-11,13:24:19,March 2024,Week 11,Rent,4477.1,Rent expense,need
2024-03-11 15:36:11,2024-03-11,15:36:11,March 2024,Week 11,Dining Out,2726.3,Dining Out expense,want
2024-03-11 16:13:25,2024-03-11,16:13:25,March 2024,Week 11,Transport,294.78,Transport expense,need
2024-03-12 15:01:21,2024-03-12,15:01:21,March 2024,Week 11,Subscriptions,3079.76,Subscriptions expense,want
2024-03-12 20:15:44,2024-03-12,20:15:44,March 2024,Week 11,Rent,2840.67,Rent expense,need
2024-03-12 23:37:58,2024-03-12,23:37:58,March 2024,Week 11,Subscriptions,1722.58,Subscriptions expense,want
2024-03-13 05:38:27,2024-03-13,05:38:27,March 2024,Week 11,Entertainment,3236.63,Entertainment expense,want
2024-03-13 08:58:57,2024-03-13,08:58:57,March 2024,Week 11,Healthcare,561.18,Healthcare expense,need
2024-03-13 14:12:33,2024-03-13,14:12:33,March 2024,Week 11,Utilities,1602.46,Utilities expense,need
2024-03-13 20:05:36,2024-03-13,20:05:36,March 2024,Week 11,Dining Out,4491.47,Dining Out expense,want
2024-03-14 02:35:57,2024-03-14,02:35:57,March 2024,Week 11,Entertainment,2776.74,Entertainment expense,want
2024-03-14 09:17:12,2024-03-14,09:17:12,March 2024,Week 11,Subscriptions,3435.71,Subscriptions expense,want
2024-03-14 19:14:59,2024-03-14,19:14:59,March 2024,Week 11,Groceries,2971.3,Groceries expense,need
2024-03-15 11:25:57,2024-03-15,11:25:57,March 2024,Week 11,Food Delivery,2601.01,Food Delivery expense,want
2024-03-15 14:23:53,2024-03-15,14:23:53,March 2024,Week 11,Dining Out,564.29,Dining Out expense,want
2024-03-15 19:09:49,2024-03-15,19:09:49,March 2024,Week 11,Food Delivery,3285.49,Food Delivery expense,want
2024-03-15 22:38:27,2024-03-15,22:38:27,March 2024,Week 11,Food Delivery,2160.21,Food Delivery expense,want
2024-03-16 00:39:51,2024-03-16,00:39:51,March 2024,Week 11,Healthcare,2707.05,Healthcare expense,need
2024-03-16 22:08:26,2024-03-16,22:08:26,March 2024,Week 11,Transport,3625.44,Transport expense,need
2024-03-17 14:01:01,2024-03-17,14:01:01,March 2024,Week 11,Transport,834.1,Transport expense,need
2024-03-17 17:47:04,2024-03-17,17:47:04,March 2024,Week 11,Utilities,3479.91,Utilities expense,need
2024-03-18 01:13:45,2024-03-18,01:13:45,March 2024,Week 12,Entertainment,3591.74,Entertainment expense,want
2024-03-18 11:18:20,2024-03-18,11:18:20,March 2024,Week 12,Entertainment,2456.11,Entertainment expense,want
2024-03-18 17:17:44,2024-03-18,17:17:44,March 2024,Week 12,Dining Out,2899.91,Dining Out expense,want
2024-03-18 20:55:00,2024-03-18,20:55:00,March 2024,Week 12,Transport,2476.49,Transport expense,need
2024-03-19 10:48:32,2024-03-19,10:48:32,March 2024,Week 12,Travel,920.07,Travel expense,want
2024-03-19 17:29:05,2024-03-19,17:29:05,March 2024,Week 12,Travel,3464.26,Travel expense,want
2024-03-19 19:26:23,2024-03-19,19:26:23,March 2024,Week 12,Subscriptions,1162.5,Subscriptions expense,want
2024-03-20 01:35:14,2024-03-20,01:35:14,March 2024,Week 12,Healthcare,2790.21,Healthcare expense,need
2024-03-21 02:36:53,2024-03-21,02:36:53,March 2024,Week 12,Groceries,4229.32,Groceries expense,need
2024-03-21 04:47:25,2024-03-21,04:47:25,March 2024,Week 12,Travel,1673.04,Travel expense,want
2024-03-21 06:49:07,2024-03-21,06:49:07,March 2024,Week 12,Transport,644.53,Transport expense,need
2024-03-24 13:00:28,2024-03-24,13:00:28,March 2024,Week 12,Dining Out,3981.27,Dining Out expense,want
2024-03-25 12:09:36,2024-03-25,12:09:36,March 2024,Week 13,Subscriptions,4014.49,Subscriptions expense,want
2024-03-25 19:15:33,2024-03-25,19:15:33,March 2024,Week 13,Healthcare,3594.23,Healthcare expense,need
2024-03-26 06:22:35,2024-03-26,06:22:35,March 2024,Week 13,Rent,1591.66,Rent expense,need
2024-03-26 12:19:02,2024-03-26,12:19:02,March 2024,Week 13,Healthcare,693.09,Healthcare expense,need
2024-03-26 12:41:39,2024-03-26,12:41:39,March 2024,Week 13,Dining Out,3522.15,Dining Out expense,want
2024-03-27 08:16:22,2024-03-27,08:16:22,March 2024,Week 13,Healthcare,1029.79,Healthcare expense,need
2024-03-27 09:31:12,2024-03-27,09:31:12,March 2024,Week 13,Rent,662.77,Rent expense,need
2024-03-27 10:36:20,2024-03-27,10:36:20,March 2024,Week 13,Transport,4949.8,Transport expense,need
2024-03-27 22:01:50,2024-03-27,22:01:50,March 2024,Week 13,Transport,2168.74,Transport expense,need
2024-03-28 03:02:40,2024-03-28,03:02:40,March 2024,Week 13,Transport,4333.41,Transport expense,need
2024-03-28 06:56:34,2024-03-28,06:56:34,March 2024,Week 13,Dining Out,276.33,Dining Out expense,want
2024-03-28 07:39:08,2024-03-28,07:39:08,March 2024,Week 13,Food Delivery,2736.82,Food Delivery expense,want
2024-03-28 08:25:07,2024-03-28,08:25:07,March 2024,Week 13,Subscriptions,721.61,Subscriptions expense,want
2024-03-28 09:24:05,2024-03-28,09:24:05,March 2024,Week 13,Utilities,2703.23,Utilities expense,need
2024-03-28 12:44:52,2024-03-28,12:44:52,March 2024,Week 13,Food Delivery,3285.73,Food Delivery expense,want
2024-03-28 15:45:10,2024-03-28,15:45:10,March 2024,Week 13,Dining Out,2659.48,Dining Out expense,want
2024-03-29 00:37:47,2024-03-29,00:37:47,March 2024,Week 13,Entertainment,1230.33,Entertainment expense,want
2024-03-29 02:01:48,2024-03-29,02:01:48,March 2024,Week 13,Dining Out,2440.26,Dining Out expense,want
2024-03-29 06:23:26,2024-03-29,06:23:26,March 2024,Week 13,Food Delivery,4234.92,Food Delivery expense,want
2024-03-29 16:18:39,2024-03-29,16:18:39,March 2024,Week 13,Groceries,866.69,Groceries expense,need
2024-03-30 04:22:45,2024-03-30,04:22:45,March 2024,Week 13,Dining Out,1342.53,Dining Out expense,want
2024-03-30 06:14:17,2024-03-30,06:14:17,March 2024,Week 13,Subscriptions,2181.32,Subscriptions expense,want
2024-03-30 16:16:39,2024-03-30,16:16:39,March 2024,Week 13,Subscriptions,4209.73,Subscriptions expense,want
2024-03-30 20:38:36,2024-03-30,20:38:36,March 2024,Week 13,Utilities,1134.11,Utilities expense,need
2024-03-30 23:38:32,2024-03-30,23:38:32,March 2024,Week 13,Food Delivery,3450.08,Food Delivery expense,want
2024-03-31 00:39:15,2024-03-31,00:39:15,March 2024,Week 13,Utilities,2637.46,Utilities expense,need
2024-03-31 03:11:34,2024-03-31,03:11:34,March 2024,Week 13,Shopping,1709.18,Shopping expense,want
2024-03-31 05:08:25,2024-03-31,05:08:25,March 2024,Week 13,Groceries,3570.02,Groceries expense,need
2024-03-31 11:13:50,2024-03-31,11:13:50,March 2024,Week 13,Utilities,536.88,Utilities expense,need
2024-04-01 01:01:59,2024-04-01,01:01:59,April 2024,Week 14,Healthcare,4591.8,Healthcare expense,need
2024-04-01 20:44:52,2024-04-01,20:44:52,April 2024,Week 14,Food Delivery,4098.53,Food Delivery expense,want
2024-04-02 01:48:21,2024-04-02,01:48:21,April 2024,Week 14,Healthcare,306.57,Healthcare expense,need
2024-04-02 06:04:03,2024-04-02,06:04:03,April 2024,Week 14,Travel,1994.96,Travel expense,want
2024-04-02 08:39:27,2024-04-02,08:39:27,April 2024,Week 14,Utilities,4920.7,Utilities expense,need
2024-04-03 01:30:19,2024-04-03,01:30:19,April 2024,Week 14,Utilities,3302.39,Utilities expense,need
2024-04-03 04:53:38,2024-04-03,04:53:38,April 2024,Week 14,Groceries,150.07,Groceries expense,need
2024-04-03 17:16:38,2024-04-03,17:16:38,April 2024,Week 14,Travel,3811.99,Travel expense,want
2024-04-03 21:22:02,2024-04-03,21:22:02,April 2024,Week 14,Entertainment,2874.09,Entertainment expense,want
2024-04-04 03:40:18,2024-04-04,03:40:18,April 2024,Week 14,Dining Out,4809.58,Dining Out expense,want
2024-04-04 18:12:15,2024-04-04,18:12:15,April 2024,Week 14,Transport,3560.93,Transport expense,need
2024-04-05 09:00:30,2024-04-05,09:00:30,April 2024,Week 14,Dining Out,849.83,Dining Out expense,want
2024-04-05 17:41:22,2024-04-05,17:41:22,April 2024,Week 14,Healthcare,4097.56,Healthcare expense,need
2024-04-05 22:22:07,2024-04-05,22:22:07,April 2024,Week 14,Dining Out,1849.98,Dining Out expense,want
2024-04-06 04:13:37,2024-04-06,04:13:37,April 2024,Week 14,Healthcare,2918.31,Healthcare expense,need
2024-04-06 16:07:09,2024-04-06,16:07:09,April 2024,Week 14,Rent,3133.9,Rent expense,need
2024-04-08 01:51:14,2024-04-08,01:51:14,April 2024,Week 15,Groceries,3103.67,Groceries expense,need
2024-04-08 10:32:19,2024-04-08,10:32:19,April 2024,Week 15,Transport,2025.22,Transport expense,need
2024-04-09 15:25:08,2024-04-09,15:25:08,April 2024,Week 15,Entertainment,4233.28,Entertainment expense,want
2024-04-10 09:45:08,2024-04-10,09:45:08,April 2024,Week 15,Utilities,1898.17,Utilities expense,need
2024-04-10 17:34:55,2024-04-10,17:34:55,April 2024,Week 15,Shopping,807.04,Shopping expense,want
2024-04-10 23:08:26,2024-04-10,23:08:26,April 2024,Week 15,Utilities,1418.66,Utilities expense,need
2024-04-11 00:42:03,2024-04-11,00:42:03,April 2024,Week 15,Transport,2691.57,Transport expense,need
2024-04-11 01:59:42,2024-04-11,01:59:42,April 2024,Week 15,Healthcare,3377.28,Healthcare expense,need
2024-04-11 17:40:17,2024-04-11,17:40:17,April 2024,Week 15,Subscriptions,3137.16,Subscriptions expense,want
2024-04-11 23:14:26,2024-04-11,23:14:26,April 2024,Week 15,Utilities,3389.11,Utilities expense,need
2024-04-12 02:17:34,2024-04-12,02:17:34,April 2024,Week 15,Subscriptions,4316.98,Subscriptions expense,want
2024-04-12 10:37:13,2024-04-12,10:37:13,April 2024,Week 15,Travel,1912.12,Travel expense,want
2024-04-12 16:05:40,2024-04-12,16:05:40,April 2024,Week 15,Entertainment,2839.88,Entertainment expense,want
2024-04-12 23:09:01,2024-04-12,23:09:01,April 2024,Week 15,Subscriptions,3445.28,Subscriptions expense,want
2024-04-13 12:31:41,2024-04-13,12:31:41,April 2024,Week 15,Groceries,1785.85,Groceries expense,need
2024-04-13 13:23:25,2024-04-13,13:23:25,April 2024,Week 15,Transport,4582.53,Transport expense,need
2024-04-13 22:06:56,2024-04-13,22:06:56,April 2024,Week 15,Travel,3922.55,Travel expense,want
2024-04-13 23:22:38,2024-04-13,23:22:38,April 2024,Week 15,Utilities,3828.79,Utilities expense,need
2024-04-14 01:18:40,2024-04-14,01:18:40,April 2024,Week 15,Transport,1032.71,Transport expense,need
2024-04-15 03:44:00,2024-04-15,03:44:00,April 2024,Week 16,Subscriptions,1216.89,Subscriptions expense,want
2024-04-15 10:06:58,2024-04-15,10:06:58,April 2024,Week 16,Subscriptions,1595.26,Subscriptions expense,want
2024-04-15 11:07:44,2024-04-15,11:07:44,April 2024,Week 16,Healthcare,3063.56,Healthcare expense,need
2024-04-15 20:46:48,2024-04-15,20:46:48,April 2024,Week 16,Utilities,1949.12,Utilities expense,need
2024-04-15 21:50:13,2024-04-15,21:50:13,April 2024,Week 16,Food Delivery,3248.19,Food Delivery expense,want
2024-04-17 00:19:30,2024-04-17,00:19:30,April 2024,Week 16,Utilities,3686.73,Utilities expense,need
2024-04-17 08:55:34,2024-04-17,08:55:34,April 2024,Week 16,Shopping,4980.71,Shopping expense,want
2024-04-17 12:31:28,2024-04-17,12:31:28,April 2024,Week 16,Subscriptions,3777.9,Subscriptions expense,want
2024-04-18 07:23:26,2024-04-18,07:23:26,April 2024,Week 16,Rent,2348.56,Rent expense,need
2024-04-19 04:32:51,2024-04-19,04:32:51,April 2024,Week 16,Shopping,3297.47,Shopping expense,want
2024-04-19 04:57:07,2024-04-19,04:57:07,April 2024,Week 16,Transport,3195.54,Transport expense,need
2024-04-19 09:23:41,2024-04-19,09:23:41,April 2024,Week 16,Transport,2046.6,Transport expense,need
